Title,Rating,Description,Genre,Directors,Stars,Release Year
Still A Michael J Fox Movie,8.2,"Follows the life of beloved actor and advocate Michael J. Fox, exploring his personal and professional triumphs and travails, and what happens when an incurable optimist confronts an incurable disease.","Documentary, Biography",[],[],2023
Arnold,8.1,"Follows the life of Arnold Schwarzenegger, from his days of lifting weights to his successes in Hollywood, his time serving as governor of California, and both the joys and volatility of his family life.","Documentary, Biography",[],[],2023
Saas Bahu Aur Flamingo,8.1,"Savitri, the matriarch of a massive cartel in the lawless Borderlands, opens up a battle for succession to find her heir in a murky world of drugs and violence.","Action, Drama",[],[],2023
Bad Boy,8.7,A light comedy about a good-for-nothing boy who falls in love with a studious girl from a conservative family. Thus the funny conflict and situations that pop up.,"Comedy, Drama, Romance",[],[],2023
Jesus Revolution,7.2,The true story of a national spiritual awakening in the early 1970s and its origins within a community of teenage hippies in Southern California.,Drama,[],[],2023
Gandhi Godse Ek Yudh,7.2,The fictional world where Mahatma Gandhi survives the attack on him and later meets Nathuram Godse in prison. Their conversation leads to a fiery debate between them.,"Drama, History",[],[],2023
Vaathi,7.3,The life of a young man and his struggles against the privatization of education.,"Action, Drama",[],[],2023
Florida Man,6.7,"When an ex-cop returns to his home state of Florida to find a mobster's runaway girlfriend, what should've been a quick gig turns into a wild odyssey.","Crime, Drama, Mystery",[],[],2023
 Queen Cleopatra,1.0,Add a Plot,Documentary,[],[],2023
Kandahar,6.0,A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,"Action, Thriller",[],[],2023
 Ted Lasso,9.3,"An unanticipated guest has Ted on edge. When Richmond travel to Manchester for a big match, Roy and Keeley become concerned about Jamie.","Comedy, Drama, Sport",[],[],2020
 Succession,8.7,"As Kendall, Shiv, and Roman hone their pitch for investors in LA, Logan learns of a rival bid on a long-coveted acquisition.","Comedy, Drama",[],[],2018
 Queen Cleopatra,1.0,Add a Plot,Documentary,[],[],2023
Wolf Pack,6.5,"A teenage boy and girl get their lives changed forever when a California wildfire awakens a terrifying supernatural creature. As the full moon rises, all teens come together to unravel the secret that connects them.","Drama, Fantasy, Horror",[],[],2023
Dahaad,7.5,"Sub-inspector Anjali Bhaati investigates a series of deaths where women are found in public bathrooms. The deaths first appear as suicides but as the investigation progresses, Bhaati realizes that there's a serial killer on the loose.","Crime, Drama, Mystery",[],[],2023
XO Kitty,6.6,A new love story unfolds when teen matchmaker Kitty reunites with her long-distance boyfriend at the same boarding school attended by her late mother.,"Comedy, Drama, Romance",[],[],2023
Zara Hatke Zara Bachke,7.8,"Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors.","Comedy, Drama, Family",[],[],2023
